team,fg_pct,opp_fg_pct,three_pt_pct,opp_three_pt_pct,ft_pct,rebounds,opp_rebounds,assists,steals,opp_steals,trnovrs_commited,pts,opp_pts,opp_fouls,prev_season,playoffs
Phoenix Suns,0.497,0.494,0.242,0.311,0.76,41.2,42.5,27.9,8.3,9.5,17.8,108,110.3,24.1,0,0
Portland Trail Blazers*,0.504,0.485,0.289,0.276,0.775,41.5,40.2,27.2,8.9,8.5,17.8,111.5,108.6,25.7,1,1
Sacramento Kings,0.475,0.489,0.251,0.316,0.796,44.6,42.1,26.2,6.1,8.5,16.8,108.9,112.1,24.8,1,0
San Antonio Spurs,0.474,0.507,0.29,0.28,0.742,43.3,42.4,26.5,9.4,8.3,16.8,105.9,110.8,22,1,0
Seattle SuperSonics*,0.482,0.479,0.335,0.287,0.758,44.7,41.7,25.9,8.4,8.7,17.9,110.7,110.3,24.1,0,1
Utah Jazz*,0.464,0.456,0.31,0.317,0.726,43,46.5,26.4,9.8,8.5,16.5,104.1,103.7,23.5,1,1
Washington Bullets*,0.454,0.473,0.197,0.291,0.765,44,46.4,21.3,9.2,8.5,15.8,105,107,23.6,1,1
Atlanta Hawks*,0.485,0.471,0.301,0.335,0.767,45.4,44.2,26,8,8.1,15.4,111.3,107.6,25.3,1,1
Boston Celtics*,0.521,0.482,0.384,0.301,0.803,41.8,41.1,30.3,7.7,9.1,16.2,115.4,109.4,24.6,1,1
Chicago Bulls*,0.49,0.47,0.23,0.293,0.759,46,41.7,27.2,9,7.6,16,109,105.5,23.8,1,1
Cleveland Cavaliers*,0.49,0.476,0.378,0.318,0.744,41.2,42.6,25.8,9.1,8.6,17.9,106.8,106,25.2,0,1
Dallas Mavericks*,0.475,0.47,0.293,0.323,0.789,48,43,24.8,8.1,7.7,15.7,112.2,107.7,25,1,1
Denver Nuggets*,0.474,0.49,0.342,0.3,0.804,41.5,45.2,26.5,9.6,7.1,13.6,110.1,106.3,22.9,1,1
Detroit Pistons*,0.493,0.467,0.287,0.289,0.757,45.2,42.2,24.8,7.3,8,16.6,110.5,105.3,26.7,1,1
Golden State Warriors,0.468,0.501,0.292,0.323,0.796,40.5,44.4,23.9,8.8,8.9,16.7,104.7,112.9,21.6,1,0
Houston Rockets*,0.471,0.465,0.237,0.275,0.78,45.2,45.1,23.2,8.5,8.8,16.4,107.1,105.7,24.1,1,1
Indiana Pacers,0.48,0.472,0.336,0.321,0.78,43.9,45.5,24.6,7.7,8.7,16.4,106.6,107.4,23.1,1,0
Los Angeles Clippers,0.443,0.477,0.249,0.342,0.713,42.6,47,22.7,8.7,10.1,18.4,97.4,107.6,23,0,0
Los Angeles Lakers*,0.505,0.476,0.297,0.298,0.789,43.6,41.9,28.7,8.2,9,16.1,113.1,107.3,23.7,1,1
Milwaukee Bucks*,0.475,0.473,0.324,0.301,0.775,42.9,44.4,27.3,8.3,7.7,15.9,108.2,107.6,24.3,1,1
New Jersey Nets,0.468,0.497,0.301,0.361,0.729,41.1,43,22.1,8.9,10,18.5,101.4,109.6,23.9,0,0
New York Knicks*,0.465,0.477,0.316,0.304,0.759,42.6,42.1,24.6,9.7,8.6,18.6,105.9,106.4,24.1,0,1
